name,assembly_url,minutes_url,access_type,robots_txt_ok,structure_notes,difficulty
神戸市,https://www.city.kobe.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/kobecity/SpTop.html,unknown,no,HTTP 404,D
岡山市,https://www.city.okayama.jp/gikai/,https://ssp.kaigiroku.net/tenant/okayama/SpTop.html,dynamic,yes,外部議事録システム: ssp.kaigiroku.net (tenant=okayama),C
広島市,https://www.city.hiroshima.lg.jp/gikai/,https://www.city.hiroshima.dbsr.jp/,unknown,unknown,接続失敗（タイムアウトまたはネットワークエラー）,D
北九州市,https://www.city.kitakyushu.lg.jp/gikai/,https://www.city.kitakyushu.dbsr.jp/,unknown,unknown,接続失敗（タイムアウトまたはネットワークエラー）,D
福岡市,https://www.city.fukuoka.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/fukuokacity/SpTop.html,unknown,no,HTTP 404,D
熊本市,https://www.city.kumamoto.jp/gikai/,http://kumamoto.gijiroku.com/voices/,dynamic,unknown,gijirokuシステム（kumamoto）,C
函館市,https://www.city.hakodate.hokkaido.jp/docs/gikai/,https://ssp.kaigiroku.net/tenant/hakodate/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
旭川市,https://www.city.asahikawa.hokkaido.jp/gikai/,https://ssp.kaigiroku.net/tenant/asahikawa/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
青森市,https://www.city.aomori.aomori.jp/gikai/,https://ssp.kaigiroku.net/tenant/aomori/SpTop.html,unknown,no,HTTP 404,D
八戸市,https://www.city.hachinohe.aomori.jp/gikai/,https://ssp.kaigiroku.net/tenant/hachinohe/SpTop.html,unknown,no,HTTP 404,D
盛岡市,https://www.city.morioka.iwate.jp/gikai/,https://ssp.kaigiroku.net/tenant/morioka/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
秋田市,https://www.city.akita.lg.jp/shisei/gikai/,https://ssp.kaigiroku.net/tenant/akita/SpTop.html,unknown,no,HTTP 404,D
山形市,https://www.city.yamagata.yamagata.jp/gikai/,https://ssp.kaigiroku.net/tenant/yamagata/SpTop.html,unknown,no,HTTP 404,D
郡山市,https://www.city.koriyama.fukushima.jp/gikai/,https://ssp.kaigiroku.net/tenant/koriyama/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
いわき市,https://www.city.iwaki.lg.jp/shisei/gikai/,https://ssp.kaigiroku.net/tenant/iwaki/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
福島市,https://www.city.fukushima.fukushima.jp/gikai/,https://ssp.kaigiroku.net/tenant/fukushimaCity/SpTop.html,unknown,no,HTTP 404,D
宇都宮市,https://www.city.utsunomiya.tochigi.jp/gikai/,https://ssp.kaigiroku.net/tenant/utsunomiya/SpTop.html,unknown,no,HTTP 404,D
前橋市,https://www.city.maebashi.gunma.jp/gikai/,https://ssp.kaigiroku.net/tenant/maebashi/SpTop.html,unknown,no,HTTP 404,D
高崎市,https://www.city.takasaki.gunma.jp/gikai/,https://ssp.kaigiroku.net/tenant/takasaki/SpTop.html,unknown,no,HTTP 404,D
川越市,https://www.city.kawagoe.saitama.jp/gikai/,https://ssp.kaigiroku.net/tenant/kawagoe/SpTop.html,unknown,no,HTTP 404,D
川口市,https://www.city.kawaguchi.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/kawaguchicity/SpTop.html,unknown,no,HTTP 404,D
越谷市,https://www.city.koshigaya.saitama.jp/gikai/,https://ssp.kaigiroku.net/tenant/koshigaya/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
船橋市,https://www.city.funabashi.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/funabashi/SpTop.html,unknown,no,HTTP 404,D
柏市,https://www.city.kashiwa.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/kashiwa/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
横須賀市,https://www.city.yokosuka.kanagawa.jp/gikai/,https://ssp.kaigiroku.net/tenant/yokosuka/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
藤沢市,https://www.city.fujisawa.kanagawa.jp/gikai/,https://ssp.kaigiroku.net/tenant/fujisawa/SpTop.html,unknown,no,HTTP 404,D
長岡市,https://www.city.nagaoka.niigata.jp/gikai/,https://ssp.kaigiroku.net/tenant/nagaoka/SpTop.html,unknown,no,HTTP 404,D
富山市,https://www.city.toyama.lg.jp/gikai/,https://www.city.toyama.dbsr.jp/,unknown,unknown,接続失敗（タイムアウトまたはネットワークエラー）,D
金沢市,https://www.city.kanazawa.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/kanazawa/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
福井市,https://www.city.fukui.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/fukuicty/SpTop.html,unknown,no,HTTP 404,D
甲府市,https://www.city.kofu.yamanashi.jp/gikai/,https://ssp.kaigiroku.net/tenant/kofu/SpTop.html,unknown,no,HTTP 404,D
長野市,https://www.city.nagano.nagano.jp/gikai/,https://ssp.kaigiroku.net/tenant/nagano/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
松本市,https://www.city.matsumoto.nagano.jp/gikai/,https://ssp.kaigiroku.net/tenant/matsumoto/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
岐阜市,https://www.city.gifu.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/gifucity/SpTop.html,unknown,no,HTTP 404,D
豊橋市,https://www.city.toyohashi.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/toyohashi/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
岡崎市,https://www.city.okazaki.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/okazaki/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
一宮市,https://www.city.ichinomiya.aichi.jp/gikai/,https://ssp.kaigiroku.net/tenant/ichinomiya/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
豊田市,https://www.city.toyota.aichi.jp/gikai/,https://ssp.kaigiroku.net/tenant/toyota/SpTop.html,unknown,no,HTTP 404,D
四日市市,https://www.city.yokkaichi.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/yokkaichi/SpTop.html,unknown,no,HTTP 404,D
大津市,https://www.city.otsu.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/otsucity/SpTop.html,unknown,no,HTTP 404,D
豊中市,https://www.city.toyonaka.osaka.jp/gikai/,https://ssp.kaigiroku.net/tenant/toyonaka/SpTop.html,unknown,no,HTTP 404,D
高槻市,https://www.city.takatsuki.osaka.jp/gikai/,https://ssp.kaigiroku.net/tenant/takatsuki/SpTop.html,unknown,no,HTTP 404,D
枚方市,https://www.city.hirakata.osaka.jp/gikai/,https://ssp.kaigiroku.net/tenant/hirakata/SpTop.html,unknown,no,HTTP 404,D
東大阪市,https://www.city.higashiosaka.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/higashiosaka/SpTop.html,unknown,no,HTTP 404,D
吹田市,https://www.city.suita.osaka.jp/gikai/,https://ssp.kaigiroku.net/tenant/suita/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
姫路市,https://www.city.himeji.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/himeji/SpTop.html,unknown,no,HTTP 404,D
尼崎市,https://www.city.amagasaki.hyogo.jp/gikai/,https://ssp.kaigiroku.net/tenant/amagasaki/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
西宮市,https://www.city.nishinomiya.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/nishinomiya/SpTop.html,unknown,no,HTTP 404,D
明石市,https://www.city.akashi.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/akashi/SpTop.html,unknown,no,HTTP 404,D
奈良市,https://www.city.nara.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/nara/SpTop.html,unknown,no,HTTP 404,D
和歌山市,https://www.city.wakayama.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/wakayamacity/SpTop.html,unknown,no,HTTP 404,D
鳥取市,https://www.city.tottori.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/tottori/SpTop.html,unknown,no,HTTP 404,D
松江市,https://www.city.matsue.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/matsue/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
倉敷市,https://www.city.kurashiki.okayama.jp/gikai/,https://ssp.kaigiroku.net/tenant/kurashiki/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
福山市,https://www.city.fukuyama.hiroshima.jp/gikai/,https://www.city.fukuyama.dbsr.jp/,unknown,unknown,接続失敗（タイムアウトまたはネットワークエラー）,D
呉市,https://www.city.kure.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/kure/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
下関市,https://www.city.shimonoseki.yamaguchi.jp/gikai/,https://ssp.kaigiroku.net/tenant/shimonoseki/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
高松市,https://www.city.takamatsu.kagawa.jp/gikai/,https://ssp.kaigiroku.net/tenant/takamatsu/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
松山市,https://www.city.matsuyama.ehime.jp/gikai/,https://ssp.kaigiroku.net/tenant/matsuyama/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
高知市,https://www.city.kochi.kochi.jp/gikai/,https://ssp.kaigiroku.net/tenant/kochi/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
久留米市,https://www.city.kurume.fukuoka.jp/gikai/,https://ssp.kaigiroku.net/tenant/kurume/SpTop.html,unknown,no,HTTP 404,D
佐賀市,https://www.city.saga.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/sagacity/SpTop.html,unknown,no,HTTP 404,D
長崎市,https://www.city.nagasaki.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/nagasakicity/SpTop.html,unknown,no,HTTP 404,D
佐世保市,https://www.city.sasebo.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/sasebo/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
大分市,https://www.city.oita.oita.jp/gikai/,https://ssp.kaigiroku.net/tenant/oitacity/SpTop.html,unknown,no,HTTP 404,D
宮崎市,https://www.city.miyazaki.miyazaki.jp/gikai/,https://ssp.kaigiroku.net/tenant/miyazakicity/SpTop.html,unknown,no,HTTP 404,D
鹿児島市,https://www.city.kagoshima.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/kagoshimacity/SpTop.html,unknown,no,HTTP 404,D
那覇市,https://www.city.naha.okinawa.jp/gikai/,https://ssp.kaigiroku.net/tenant/naha/SpTop.html,unknown,no,HTTP 404,D
八王子市,https://www.city.hachioji.tokyo.jp/gikai/,https://ssp.kaigiroku.net/tenant/hachioji/SpTop.html,unknown,no,HTTP 404,D
町田市,https://www.city.machida.tokyo.jp/gikai/,https://ssp.kaigiroku.net/tenant/machida/SpTop.html,unknown,no,HTTP 404,D
府中市,https://www.city.fuchu.tokyo.jp/gikai/,https://ssp.kaigiroku.net/tenant/fuchuCity/SpTop.html,unknown,no,HTTP 404,D
調布市,https://www.city.chofu.tokyo.jp/gikai/,https://ssp.kaigiroku.net/tenant/chofu/SpTop.html,unknown,no,HTTP 404,D
西東京市,https://www.city.nishitokyo.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/nishitokyo/SpTop.html,unknown,no,HTTP 404,D
水戸市,https://www.city.mito.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/mitocity/SpTop.html,unknown,no,HTTP 404,D
小山市,https://www.city.oyama.tochigi.jp/gikai/,https://ssp.kaigiroku.net/tenant/oyama/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
所沢市,https://www.city.tokorozawa.saitama.jp/gikai/,https://ssp.kaigiroku.net/tenant/tokorozawa/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
春日部市,https://www.city.kasukabe.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/kasukabe/SpTop.html,unknown,no,HTTP 404,D
上尾市,https://www.city.ageo.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/ageo/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
松戸市,https://www.city.matsudo.chiba.jp/gikai/,https://ssp.kaigiroku.net/tenant/matsudo/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
市川市,https://www.city.ichikawa.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/ichikawa/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
平塚市,https://www.city.hiratsuka.kanagawa.jp/gikai/,https://ssp.kaigiroku.net/tenant/hiratsuka/SpTop.html,unknown,no,HTTP 404,D
厚木市,https://www.city.atsugi.kanagawa.jp/gikai/,https://ssp.kaigiroku.net/tenant/atsugi/SpTop.html,unknown,no,HTTP 404,D
八尾市,https://www.city.yao.osaka.jp/gikai/,https://ssp.kaigiroku.net/tenant/yaocity/SpTop.html,unknown,no,HTTP 404,D
寝屋川市,https://www.city.neyagawa.osaka.jp/gikai/,https://ssp.kaigiroku.net/tenant/neyagawa/SpTop.html,unknown,no,HTTP 404,D
加古川市,https://www.city.kakogawa.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/kakogawa/SpTop.html,unknown,no,HTTP 404,D
東広島市,https://www.city.higashihiroshima.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/higashihiroshima/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
久留米市,https://www.city.kurume.fukuoka.jp/gikai/,https://ssp.kaigiroku.net/tenant/kurume/SpTop.html,unknown,no,HTTP 404,D
沖縄市,https://www.city.okinawa.okinawa.jp/gikai/,https://ssp.kaigiroku.net/tenant/okinawacity/SpTop.html,unknown,no,HTTP 404,D
